product_name,product_url,product_price,rating,num_reviews,description,asin,manufacturer
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-94,994,4.1,402,,,
Skybags VOXEL BACKPACK,https://www.amazon.in/Skybags-BPVOX22EGRN-VOXEL-BACKPACK-GREEN/dp/B0B3XY5TMK/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-95,834,3.9,194,,,
Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Beech-Womens-Satchel-Handbag/dp/B096KTWTXC/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-96,"1,518",4.2,"2,328",,,
American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGN5QV2/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-97,"1,249",4.1,"3,049",,,
"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",https://www.amazon.in/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-98,"1,155",4.0,"1,657",,,
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-99,479,3.9,"10,361",,,
"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve",https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-100,"4,999",4.5,652,,,
Glowic Unisex's Backpack for Men Women Boys Girls/Office School College Teens & Students (WBAG-64) (Black),https://www.amazon.in/Glowic-Unisexs-Backpack-College-Students/dp/B0BGX9W69N/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-101,969,3.6,261,,,
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-102,994,4.1,402,,,
Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-103,"1,360",4.0,70,,,
